ChangesOfLane;AvgSpeed;Density;Flow
0.0;1.0638297872340425;0.47;0.49999999999999994
0.0;1.065217391304348;0.46;0.49000000000000005
0.0;0.9318181818181818;0.44;0.41
1.0;0.9565217391304348;0.46;0.44000000000000006
1.0;0.9565217391304348;0.46;0.44000000000000006
3.0;0.9111111111111111;0.45;0.41
3.0;0.8863636363636364;0.44;0.39
4.0;0.9069767441860465;0.43;0.38999999999999996
5.0;1.0909090909090908;0.44;0.48
5.0;0.9130434782608695;0.46;0.42
5.0;0.9;0.5;0.45
5.0;0.8431372549019608;0.51;0.43
6.0;0.7962962962962963;0.54;0.43
7.0;0.6226415094339622;0.53;0.33
7.0;0.6981132075471698;0.53;0.37
7.0;0.74;0.5;0.37
7.0;0.8333333333333334;0.48;0.4
7.0;1.0869565217391304;0.46;0.5
7.0;0.9782608695652174;0.46;0.45
7.0;1.0;0.44;0.44
8.0;1.0476190476190477;0.42;0.44
9.0;0.9090909090909091;0.44;0.39999999999999997
13.0;0.8695652173913043;0.46;0.4
15.0;0.8695652173913043;0.46;0.4
15.0;0.92;0.5;0.46
15.0;0.96;0.5;0.48
15.0;0.7735849056603774;0.53;0.41000000000000003
15.0;0.6181818181818182;0.55;0.34
15.0;0.5555555555555556;0.54;0.30000000000000004
15.0;0.75;0.52;0.39
15.0;0.8;0.5;0.4
15.0;0.8979591836734694;0.49;0.44
15.0;1.0217391304347827;0.46;0.4700000000000001
16.0;1.25;0.4;0.5
16.0;0.9534883720930233;0.43;0.41000000000000003
16.0;0.9333333333333333;0.45;0.42000000000000004
16.0;1.0454545454545454;0.44;0.45999999999999996
17.0;1.1111111111111112;0.45;0.5
17.0;0.8541666666666666;0.48;0.41
17.0;0.84;0.5;0.42
17.0;0.75;0.52;0.39
17.0;0.88;0.5;0.44
17.0;0.7254901960784313;0.51;0.37
17.0;0.7884615384615384;0.52;0.41
17.0;0.9795918367346939;0.49;0.48
17.0;0.8163265306122449;0.49;0.4
17.0;1.0217391304347827;0.46;0.4700000000000001
17.0;0.8913043478260869;0.46;0.41
19.0;1.0;0.47;0.47
19.0;0.9782608695652174;0.46;0.45
