ChangesOfLane;AvgSpeed;Density;Flow
0.0;0.82;0.5;0.41
0.0;0.75;0.52;0.39
0.0;0.75;0.52;0.39
0.0;0.78;0.5;0.39
0.0;0.86;0.5;0.43
0.0;0.8269230769230769;0.52;0.43
0.0;0.7692307692307693;0.52;0.4
0.0;0.8490566037735849;0.53;0.45000000000000007
0.0;0.7547169811320755;0.53;0.4
2.0;0.803921568627451;0.51;0.41000000000000003
2.0;0.9574468085106383;0.47;0.45
3.0;1.0444444444444445;0.45;0.47000000000000003
3.0;1.2093023255813953;0.43;0.5199999999999999
3.0;0.9534883720930233;0.43;0.41000000000000003
3.0;1.0;0.43;0.43
3.0;0.8695652173913043;0.46;0.4
3.0;0.8541666666666666;0.48;0.41
4.0;0.7450980392156863;0.51;0.38
4.0;0.78;0.5;0.39
4.0;0.7115384615384616;0.52;0.37000000000000005
4.0;0.6851851851851852;0.54;0.37000000000000005
4.0;0.8076923076923077;0.52;0.42000000000000004
4.0;0.72;0.5;0.36
4.0;0.82;0.5;0.41
4.0;0.8936170212765957;0.47;0.41999999999999993
7.0;1.0;0.46;0.46
8.0;1.1627906976744187;0.43;0.5
8.0;1.119047619047619;0.42;0.47
8.0;1.0232558139534884;0.43;0.44
8.0;1.0227272727272727;0.44;0.45
8.0;0.9782608695652174;0.46;0.45
8.0;0.8979591836734694;0.49;0.44
8.0;0.74;0.5;0.37
8.0;0.7321428571428571;0.56;0.41000000000000003
8.0;0.7735849056603774;0.53;0.41000000000000003
8.0;0.7058823529411765;0.51;0.36000000000000004
8.0;0.8461538461538461;0.52;0.44
8.0;0.6666666666666666;0.51;0.33999999999999997
8.0;0.7916666666666666;0.48;0.37999999999999995
8.0;0.9347826086956522;0.46;0.43000000000000005
8.0;1.0;0.45;0.45
8.0;1.0;0.46;0.46
8.0;1.0222222222222221;0.45;0.45999999999999996
9.0;1.1818181818181819;0.44;0.52
10.0;0.9787234042553191;0.47;0.45999999999999996
10.0;1.0;0.47;0.47
10.0;0.78;0.5;0.39
10.0;0.7450980392156863;0.51;0.38
10.0;0.8367346938775511;0.49;0.41000000000000003
10.0;0.7647058823529411;0.51;0.38999999999999996
