ChangesOfLane;AvgSpeed;Density;Flow
3.0;1.8148148148148149;0.27;0.49000000000000005
5.0;2.5;0.2;0.5
6.0;2.8947368421052633;0.19;0.55
8.0;3.0625;0.16;0.49
9.0;3.6923076923076925;0.13;0.48000000000000004
9.0;3.5833333333333335;0.12;0.43
9.0;3.3076923076923075;0.13;0.43
9.0;3.3846153846153846;0.13;0.44
9.0;3.4615384615384617;0.13;0.45
10.0;3.5833333333333335;0.12;0.43
10.0;3.4285714285714284;0.14;0.48000000000000004
10.0;3.0714285714285716;0.14;0.43000000000000005
11.0;3.5384615384615383;0.13;0.46
11.0;3.9166666666666665;0.12;0.47
11.0;3.8461538461538463;0.13;0.5
12.0;3.8461538461538463;0.13;0.5
12.0;3.923076923076923;0.13;0.51
12.0;3.3846153846153846;0.13;0.44
13.0;3.75;0.12;0.44999999999999996
13.0;4.083333333333333;0.12;0.48999999999999994
14.0;3.5833333333333335;0.12;0.43
15.0;3.6363636363636362;0.11;0.39999999999999997
15.0;3.7;0.1;0.37000000000000005
15.0;3.4166666666666665;0.12;0.41
15.0;3.5833333333333335;0.12;0.43
15.0;3.5454545454545454;0.11;0.39
15.0;3.3333333333333335;0.12;0.4
15.0;3.8333333333333335;0.12;0.46
15.0;3.75;0.12;0.44999999999999996
15.0;3.6666666666666665;0.12;0.43999999999999995
15.0;3.3076923076923075;0.13;0.43
15.0;3.5454545454545454;0.11;0.39
15.0;3.6923076923076925;0.13;0.48000000000000004
15.0;3.8461538461538463;0.13;0.5
15.0;3.5833333333333335;0.12;0.43
15.0;3.6666666666666665;0.12;0.43999999999999995
15.0;3.5454545454545454;0.11;0.39
15.0;3.5833333333333335;0.12;0.43
15.0;3.6666666666666665;0.12;0.43999999999999995
15.0;3.9166666666666665;0.12;0.47
15.0;3.5;0.12;0.42
15.0;3.7;0.1;0.37000000000000005
15.0;3.5;0.12;0.42
15.0;3.6666666666666665;0.12;0.43999999999999995
15.0;3.5;0.12;0.42
15.0;3.5833333333333335;0.12;0.43
15.0;3.6923076923076925;0.13;0.48000000000000004
15.0;3.5384615384615383;0.13;0.46
15.0;3.769230769230769;0.13;0.49
16.0;3.5833333333333335;0.12;0.43
16.0;3.6666666666666665;0.12;0.43999999999999995
16.0;3.769230769230769;0.13;0.49
17.0;3.8461538461538463;0.13;0.5
17.0;3.5;0.12;0.42
17.0;3.4166666666666665;0.12;0.41
17.0;3.230769230769231;0.13;0.42000000000000004
19.0;3.9166666666666665;0.12;0.47
20.0;3.5;0.12;0.42
20.0;3.8333333333333335;0.12;0.46
21.0;3.75;0.12;0.44999999999999996
21.0;3.4615384615384617;0.13;0.45
22.0;3.642857142857143;0.14;0.51
22.0;3.642857142857143;0.14;0.51
22.0;3.75;0.12;0.44999999999999996
22.0;2.9166666666666665;0.12;0.35
24.0;3.7142857142857144;0.14;0.52
24.0;3.8461538461538463;0.13;0.5
24.0;3.6923076923076925;0.13;0.48000000000000004
24.0;3.4545454545454546;0.11;0.38
24.0;3.6666666666666665;0.12;0.43999999999999995
24.0;3.6923076923076925;0.13;0.48000000000000004
25.0;3.769230769230769;0.13;0.49
25.0;3.7;0.1;0.37000000000000005
26.0;3.25;0.12;0.39
27.0;3.9285714285714284;0.14;0.55
27.0;3.3846153846153846;0.13;0.44
28.0;3.5384615384615383;0.13;0.46
29.0;3.6666666666666665;0.12;0.43999999999999995
29.0;4.0;0.13;0.52
29.0;3.6666666666666665;0.12;0.43999999999999995
30.0;3.25;0.12;0.39
31.0;3.6923076923076925;0.13;0.48000000000000004
31.0;3.5833333333333335;0.12;0.43
32.0;3.5833333333333335;0.12;0.43
32.0;3.3076923076923075;0.13;0.43
32.0;3.3076923076923075;0.13;0.43
32.0;3.75;0.12;0.44999999999999996
34.0;3.8461538461538463;0.13;0.5
34.0;3.9166666666666665;0.12;0.47
34.0;3.5833333333333335;0.12;0.43
35.0;3.5;0.14;0.49000000000000005
35.0;3.5;0.12;0.42
36.0;3.7857142857142856;0.14;0.53
36.0;3.769230769230769;0.13;0.49
36.0;3.5;0.12;0.42
36.0;3.6363636363636362;0.11;0.39999999999999997
36.0;3.9166666666666665;0.12;0.47
37.0;3.8461538461538463;0.13;0.5
37.0;3.769230769230769;0.13;0.49
37.0;3.230769230769231;0.13;0.42000000000000004
