ChangesOfLane;AvgSpeed;Density;Flow
1.0;0.7551020408163265;0.49;0.37
1.0;1.1219512195121952;0.41;0.46
1.0;1.4210526315789473;0.38;0.54
1.0;1.4722222222222223;0.36;0.53
1.0;1.8387096774193548;0.31;0.57
1.0;2.230769230769231;0.26;0.5800000000000001
1.0;2.7083333333333335;0.24;0.65
2.0;2.347826086956522;0.23;0.54
5.0;1.64;0.25;0.41
8.0;1.4642857142857142;0.28;0.41000000000000003
8.0;1.7307692307692308;0.26;0.45
9.0;1.6071428571428572;0.28;0.45000000000000007
9.0;1.5172413793103448;0.29;0.43999999999999995
14.0;1.4482758620689655;0.29;0.42
14.0;1.5172413793103448;0.29;0.43999999999999995
15.0;1.5925925925925926;0.27;0.43
15.0;1.7857142857142858;0.28;0.5000000000000001
17.0;1.5555555555555556;0.27;0.42000000000000004
19.0;1.8518518518518519;0.27;0.5
20.0;1.7037037037037037;0.27;0.46
22.0;1.7142857142857142;0.28;0.48000000000000004
22.0;2.0416666666666665;0.24;0.48999999999999994
23.0;1.7777777777777777;0.27;0.48
23.0;1.7307692307692308;0.26;0.45
23.0;1.4482758620689655;0.29;0.42
24.0;1.6923076923076923;0.26;0.44
27.0;1.5714285714285714;0.28;0.44000000000000006
29.0;1.8076923076923077;0.26;0.47000000000000003
30.0;1.6428571428571428;0.28;0.46
31.0;1.5172413793103448;0.29;0.43999999999999995
31.0;1.7826086956521738;0.23;0.41
35.0;2.0;0.24;0.48
38.0;1.9583333333333333;0.24;0.47
38.0;1.875;0.24;0.44999999999999996
39.0;1.9130434782608696;0.23;0.44000000000000006
40.0;1.9166666666666667;0.24;0.46
41.0;2.0869565217391304;0.23;0.48
47.0;1.565217391304348;0.23;0.36000000000000004
47.0;2.0;0.23;0.46
47.0;1.962962962962963;0.27;0.53
47.0;1.3448275862068966;0.29;0.38999999999999996
47.0;1.4814814814814814;0.27;0.4
47.0;1.5714285714285714;0.28;0.44000000000000006
47.0;1.4333333333333333;0.3;0.43
48.0;1.2333333333333334;0.3;0.37
48.0;1.6206896551724137;0.29;0.4699999999999999
52.0;1.8076923076923077;0.26;0.47000000000000003
53.0;1.9642857142857142;0.28;0.55
54.0;1.5333333333333334;0.3;0.46
55.0;1.206896551724138;0.29;0.35
