ChangesOfLane;AvgSpeed;Density;Flow
2.0;1.0227272727272727;0.44;0.45
2.0;1.2439024390243902;0.41;0.51
2.0;1.5277777777777777;0.36;0.5499999999999999
2.0;1.7586206896551724;0.29;0.51
2.0;2.2962962962962963;0.27;0.62
3.0;2.3636363636363638;0.22;0.52
4.0;2.7;0.2;0.54
5.0;3.3125;0.16;0.53
5.0;3.4615384615384617;0.13;0.45
6.0;3.3846153846153846;0.13;0.44
6.0;3.5833333333333335;0.12;0.43
7.0;3.642857142857143;0.14;0.51
7.0;3.8333333333333335;0.12;0.46
7.0;3.9166666666666665;0.12;0.47
8.0;3.1818181818181817;0.11;0.35
8.0;3.923076923076923;0.13;0.51
9.0;3.6363636363636362;0.11;0.39999999999999997
10.0;3.3846153846153846;0.13;0.44
11.0;3.6666666666666665;0.12;0.43999999999999995
11.0;3.5454545454545454;0.11;0.39
11.0;3.75;0.12;0.44999999999999996
11.0;3.923076923076923;0.13;0.51
11.0;3.6363636363636362;0.11;0.39999999999999997
11.0;3.6923076923076925;0.13;0.48000000000000004
11.0;3.4285714285714284;0.14;0.48000000000000004
11.0;3.5;0.14;0.49000000000000005
11.0;3.3076923076923075;0.13;0.43
11.0;3.5714285714285716;0.14;0.5000000000000001
11.0;3.8181818181818183;0.11;0.42000000000000004
11.0;3.6153846153846154;0.13;0.47000000000000003
11.0;3.6666666666666665;0.12;0.43999999999999995
11.0;3.5833333333333335;0.12;0.43
11.0;3.6153846153846154;0.13;0.47000000000000003
12.0;3.6153846153846154;0.13;0.47000000000000003
12.0;3.75;0.12;0.44999999999999996
12.0;3.6666666666666665;0.12;0.43999999999999995
12.0;3.5;0.12;0.42
12.0;3.3333333333333335;0.12;0.4
12.0;3.6923076923076925;0.13;0.48000000000000004
12.0;2.909090909090909;0.11;0.32
14.0;3.8461538461538463;0.13;0.5
16.0;3.9166666666666665;0.12;0.47
16.0;3.75;0.12;0.44999999999999996
19.0;3.3846153846153846;0.13;0.44
19.0;3.4615384615384617;0.13;0.45
19.0;3.75;0.12;0.44999999999999996
19.0;3.8461538461538463;0.13;0.5
19.0;3.5;0.12;0.42
20.0;3.4166666666666665;0.12;0.41
20.0;3.4615384615384617;0.13;0.45
