ChangesOfLane;AvgSpeed;Density;Flow
5.0;0.752;0.5;0.376
13.0;0.6640625;0.512;0.34
25.0;0.5;0.536;0.268
39.0;0.3597122302158273;0.556;0.2
53.0;0.4125874125874126;0.572;0.236
73.0;0.2671232876712329;0.584;0.156
82.0;0.4;0.6;0.24
88.0;0.3092105263157895;0.608;0.188
108.0;0.3269230769230769;0.624;0.20400000000000001
117.0;0.3184713375796178;0.628;0.19999999999999998
127.0;0.2948717948717949;0.624;0.184
139.0;0.3076923076923077;0.624;0.192
149.0;0.3248407643312102;0.628;0.204
159.0;0.3248407643312102;0.628;0.204
170.0;0.3037974683544304;0.632;0.192
183.0;0.30128205128205127;0.624;0.188
193.0;0.31645569620253167;0.632;0.2
205.0;0.34615384615384615;0.624;0.216
216.0;0.3248407643312102;0.628;0.204
227.0;0.29936305732484075;0.628;0.188
239.0;0.2948717948717949;0.624;0.184
251.0;0.33121019108280253;0.628;0.208
262.0;0.29936305732484075;0.628;0.188
269.0;0.3333333333333333;0.624;0.208
280.0;0.358974358974359;0.624;0.224
286.0;0.30128205128205127;0.624;0.188
297.0;0.3184713375796178;0.628;0.19999999999999998
302.0;0.3096774193548387;0.62;0.192
316.0;0.35443037974683544;0.632;0.224
326.0;0.33121019108280253;0.628;0.208
336.0;0.34177215189873417;0.632;0.216
351.0;0.3141025641025641;0.624;0.196
357.0;0.3269230769230769;0.624;0.20400000000000001
372.0;0.3782051282051282;0.624;0.236
379.0;0.31645569620253167;0.632;0.2
389.0;0.28846153846153844;0.624;0.18
407.0;0.3269230769230769;0.624;0.20400000000000001
412.0;0.2948717948717949;0.624;0.184
420.0;0.2848101265822785;0.632;0.18000000000000002
434.0;0.2911392405063291;0.632;0.184
443.0;0.28205128205128205;0.624;0.176
462.0;0.29936305732484075;0.628;0.188
479.0;0.2848101265822785;0.632;0.18000000000000002
499.0;0.3057324840764331;0.628;0.192
516.0;0.33974358974358976;0.624;0.21200000000000002
531.0;0.41139240506329117;0.632;0.26
541.0;0.3269230769230769;0.624;0.20400000000000001
554.0;0.31210191082802546;0.628;0.19599999999999998
569.0;0.31210191082802546;0.628;0.19599999999999998
584.0;0.3269230769230769;0.624;0.20400000000000001
