ChangesOfLane;AvgSpeed;Density;Flow
0.0;1.6;0.35;0.5599999999999999
0.0;1.8387096774193548;0.31;0.57
0.0;2.1481481481481484;0.27;0.5800000000000001
1.0;2.25;0.24;0.54
1.0;2.0416666666666665;0.24;0.48999999999999994
2.0;2.130434782608696;0.23;0.49000000000000005
3.0;2.1052631578947367;0.19;0.39999999999999997
3.0;2.764705882352941;0.17;0.47000000000000003
3.0;2.933333333333333;0.15;0.43999999999999995
8.0;3.6666666666666665;0.12;0.43999999999999995
8.0;3.4166666666666665;0.12;0.41
8.0;3.5833333333333335;0.12;0.43
8.0;3.769230769230769;0.13;0.49
8.0;3.6153846153846154;0.13;0.47000000000000003
8.0;3.5384615384615383;0.13;0.46
8.0;3.75;0.12;0.44999999999999996
9.0;3.3076923076923075;0.13;0.43
10.0;3.9166666666666665;0.12;0.47
10.0;3.9166666666666665;0.12;0.47
10.0;3.4166666666666665;0.12;0.41
11.0;3.4166666666666665;0.12;0.41
13.0;3.5384615384615383;0.13;0.46
13.0;3.75;0.12;0.44999999999999996
13.0;3.8181818181818183;0.11;0.42000000000000004
13.0;3.25;0.12;0.39
14.0;3.769230769230769;0.13;0.49
14.0;3.4615384615384617;0.13;0.45
15.0;3.5714285714285716;0.14;0.5000000000000001
15.0;3.6666666666666665;0.12;0.43999999999999995
15.0;3.6923076923076925;0.13;0.48000000000000004
16.0;3.6363636363636362;0.11;0.39999999999999997
17.0;3.4615384615384617;0.13;0.45
17.0;3.5;0.14;0.49000000000000005
17.0;3.8461538461538463;0.13;0.5
17.0;3.727272727272727;0.11;0.41
17.0;3.8181818181818183;0.11;0.42000000000000004
17.0;3.75;0.12;0.44999999999999996
18.0;3.3846153846153846;0.13;0.44
18.0;3.5714285714285716;0.14;0.5000000000000001
18.0;3.4166666666666665;0.12;0.41
19.0;3.769230769230769;0.13;0.49
20.0;3.6363636363636362;0.11;0.39999999999999997
20.0;3.6666666666666665;0.12;0.43999999999999995
20.0;3.4545454545454546;0.11;0.38
20.0;3.5384615384615383;0.13;0.46
21.0;4.0;0.13;0.52
21.0;3.6153846153846154;0.13;0.47000000000000003
21.0;3.272727272727273;0.11;0.36000000000000004
21.0;3.6666666666666665;0.12;0.43999999999999995
21.0;3.6923076923076925;0.13;0.48000000000000004
21.0;3.4545454545454546;0.11;0.38
22.0;3.769230769230769;0.13;0.49
22.0;3.727272727272727;0.11;0.41
22.0;3.3846153846153846;0.13;0.44
22.0;3.3846153846153846;0.13;0.44
22.0;3.642857142857143;0.14;0.51
22.0;3.4615384615384617;0.13;0.45
22.0;3.5384615384615383;0.13;0.46
22.0;3.6923076923076925;0.13;0.48000000000000004
22.0;3.6363636363636362;0.11;0.39999999999999997
22.0;3.8333333333333335;0.12;0.46
22.0;3.6666666666666665;0.12;0.43999999999999995
22.0;3.6923076923076925;0.13;0.48000000000000004
22.0;3.6666666666666665;0.12;0.43999999999999995
22.0;3.5384615384615383;0.13;0.46
22.0;3.5384615384615383;0.13;0.46
22.0;3.8461538461538463;0.13;0.5
23.0;3.3846153846153846;0.13;0.44
23.0;3.769230769230769;0.13;0.49
23.0;3.8461538461538463;0.13;0.5
23.0;3.769230769230769;0.13;0.49
23.0;3.4615384615384617;0.13;0.45
24.0;3.9166666666666665;0.12;0.47
24.0;3.5833333333333335;0.12;0.43
24.0;3.6923076923076925;0.13;0.48000000000000004
24.0;3.4285714285714284;0.14;0.48000000000000004
24.0;3.5384615384615383;0.13;0.46
24.0;3.5833333333333335;0.12;0.43
24.0;3.5384615384615383;0.13;0.46
25.0;3.75;0.12;0.44999999999999996
25.0;3.4615384615384617;0.13;0.45
25.0;3.6923076923076925;0.13;0.48000000000000004
25.0;3.4166666666666665;0.12;0.41
25.0;3.5833333333333335;0.12;0.43
25.0;4.0;0.12;0.48
25.0;3.5833333333333335;0.12;0.43
25.0;3.75;0.12;0.44999999999999996
25.0;3.6666666666666665;0.12;0.43999999999999995
25.0;3.5;0.14;0.49000000000000005
25.0;3.5;0.12;0.42
26.0;3.642857142857143;0.14;0.51
26.0;3.75;0.12;0.44999999999999996
26.0;3.3333333333333335;0.12;0.4
26.0;3.3333333333333335;0.12;0.4
28.0;3.5;0.12;0.42
28.0;3.230769230769231;0.13;0.42000000000000004
28.0;3.769230769230769;0.13;0.49
28.0;3.4615384615384617;0.13;0.45
28.0;3.642857142857143;0.14;0.51
28.0;3.3846153846153846;0.13;0.44
